Name,recall ± std,precision ± std,IoU ± std,chunk_size,chunk_overlap,n_results,recall_mean,recall_std,precision_mean,precision_std,iou_mean,iou_std,Created
ChunkSize_450_Overlap_125_RetrieveResults_2,84.93 ± 33.44,3.86 ± 2.96,3.85 ± 2.95,450,125,2,84.93,33.44,3.86,2.96,3.85,2.95,2025-03-31T15:51:44.000Z
ChunkSize_450_Overlap_125_RetrieveResults_3,88.41 ± 29.88,2.71 ± 2.01,2.71 ± 2.0,450,125,3,88.41,29.88,2.71,2.01,2.71,2.0,2025-03-31T15:52:05.000Z
ChunkSize_450_Overlap_125_RetrieveResults_4,90.74 ± 27.3,2.1 ± 1.48,2.09 ± 1.48,450,125,4,90.74,27.3,2.1,1.48,2.09,1.48,2025-03-31T15:52:26.000Z
ChunkSize_450_Overlap_125_RetrieveResults_5,93.86 ± 22.69,1.73 ± 1.18,1.73 ± 1.18,450,125,5,93.86,22.69,1.73,1.18,1.73,1.18,2025-03-31T15:52:47.000Z
ChunkSize_450_Overlap_125_RetrieveResults_6,94.37 ± 22.38,1.45 ± 1.0,1.45 ± 1.0,450,125,6,94.37,22.38,1.45,1.0,1.45,1.0,2025-03-31T15:53:08.000Z
ChunkSize_450_Overlap_125_RetrieveResults_7,95.69 ± 19.55,1.26 ± 0.84,1.26 ± 0.84,450,125,7,95.69,19.55,1.26,0.84,1.26,0.84,2025-03-31T15:53:29.000Z
ChunkSize_450_Overlap_125_RetrieveResults_8,95.95 ± 19.47,1.11 ± 0.74,1.11 ± 0.74,450,125,8,95.95,19.47,1.11,0.74,1.11,0.74,2025-03-31T15:53:50.000Z
ChunkSize_450_Overlap_125_RetrieveResults_9,95.95 ± 19.47,0.99 ± 0.66,0.99 ± 0.66,450,125,9,95.95,19.47,0.99,0.66,0.99,0.66,2025-03-31T15:54:11.000Z
ChunkSize_450_Overlap_125_RetrieveResults_10,98.58 ± 11.42,0.91 ± 0.58,0.91 ± 0.58,450,125,10,98.58,11.42,0.91,0.58,0.91,0.58,2025-03-31T15:54:32.000Z
ChunkSize_500_Overlap_125_RetrieveResults_1,54.47 ± 48.47,4.47 ± 5.43,4.42 ± 5.32,500,125,1,54.47,48.47,4.47,5.43,4.42,5.32,2025-03-31T15:54:53.000Z
ChunkSize_500_Overlap_125_RetrieveResults_2,67.31 ± 45.35,2.82 ± 2.79,2.81 ± 2.78,500,125,2,67.31,45.35,2.82,2.79,2.81,2.78,2025-03-31T15:55:14.000Z
ChunkSize_500_Overlap_125_RetrieveResults_3,77.0 ± 40.32,2.1 ± 1.8,2.1 ± 1.79,500,125,3,77.0,40.32,2.1,1.8,2.1,1.79,2025-03-31T15:55:35.000Z
ChunkSize_500_Overlap_125_RetrieveResults_4,82.26 ± 36.24,1.71 ± 1.33,1.71 ± 1.32,500,125,4,82.26,36.24,1.71,1.33,1.71,1.32,2025-03-31T15:55:56.000Z
ChunkSize_500_Overlap_125_RetrieveResults_5,87.53 ± 30.76,1.41 ± 1.02,1.41 ± 1.01,500,125,5,87.53,30.76,1.41,1.02,1.41,1.01,2025-03-31T15:56:17.000Z
ChunkSize_500_Overlap_125_RetrieveResults_6,90.16 ± 27.23,1.22 ± 0.84,1.22 ± 0.83,500,125,6,90.16,27.23,1.22,0.84,1.22,0.83,2025-03-31T15:56:39.000Z
ChunkSize_500_Overlap_125_RetrieveResults_7,90.61 ± 27.11,1.06 ± 0.74,1.05 ± 0.74,500,125,7,90.61,27.11,1.06,0.74,1.05,0.74,2025-03-31T15:57:00.000Z
ChunkSize_500_Overlap_125_RetrieveResults_8,90.61 ± 27.11,0.93 ± 0.65,0.93 ± 0.65,500,125,8,90.61,27.11,0.93,0.65,0.93,0.65,2025-03-31T15:57:21.000Z
ChunkSize_500_Overlap_125_RetrieveResults_9,94.55 ± 19.98,0.85 ± 0.55,0.85 ± 0.55,500,125,9,94.55,19.98,0.85,0.55,0.85,0.55,2025-03-31T15:57:42.000Z
ChunkSize_500_Overlap_125_RetrieveResults_10,94.55 ± 19.98,0.77 ± 0.5,0.77 ± 0.5,500,125,10,94.55,19.98,0.77,0.5,0.77,0.5,2025-03-31T15:58:03.000Z
ChunkSize_550_Overlap_125_RetrieveResults_1,54.3 ± 48.16,4.22 ± 5.1,4.19 ± 5.06,550,125,1,54.3,48.16,4.22,5.1,4.19,5.06,2025-03-31T15:58:24.000Z
ChunkSize_550_Overlap_125_RetrieveResults_2,70.92 ± 44.24,2.78 ± 2.62,2.77 ± 2.61,550,125,2,70.92,44.24,2.78,2.62,2.77,2.61,2025-03-31T15:58:45.000Z
ChunkSize_550_Overlap_125_RetrieveResults_3,78.46 ± 39.91,2.0 ± 1.69,1.99 ± 1.69,550,125,3,78.46,39.91,2.0,1.69,1.99,1.69,2025-03-31T15:59:06.000Z
ChunkSize_550_Overlap_125_RetrieveResults_4,85.55 ± 34.2,1.63 ± 1.28,1.63 ± 1.28,550,125,4,85.55,34.2,1.63,1.28,1.63,1.28,2025-03-31T15:59:28.000Z
ChunkSize_550_Overlap_125_RetrieveResults_5,88.19 ± 31.24,1.34 ± 1.01,1.33 ± 1.01,550,125,5,88.19,31.24,1.34,1.01,1.33,1.01,2025-03-31T15:59:49.000Z
ChunkSize_550_Overlap_125_RetrieveResults_6,89.5 ± 29.55,1.11 ± 0.83,1.11 ± 0.83,550,125,6,89.5,29.55,1.11,0.83,1.11,0.83,2025-03-31T16:00:04.000Z
ChunkSize_550_Overlap_125_RetrieveResults_7,89.5 ± 29.55,0.96 ± 0.72,0.96 ± 0.72,550,125,7,89.5,29.55,0.96,0.72,0.96,0.72,2025-03-31T16:00:25.000Z
ChunkSize_550_Overlap_125_RetrieveResults_8,91.13 ± 27.99,0.87 ± 0.65,0.87 ± 0.65,550,125,8,91.13,27.99,0.87,0.65,0.87,0.65,2025-03-31T16:00:47.000Z
ChunkSize_550_Overlap_125_RetrieveResults_9,91.13 ± 27.99,0.78 ± 0.58,0.78 ± 0.58,550,125,9,91.13,27.99,0.78,0.58,0.78,0.58,2025-03-31T16:01:08.000Z
ChunkSize_550_Overlap_125_RetrieveResults_10,92.44 ± 25.95,0.7 ± 0.51,0.7 ± 0.51,550,125,10,92.44,25.95,0.7,0.51,0.7,0.51,2025-03-31T16:01:29.000Z
ChunkSize_600_Overlap_125_RetrieveResults_1,55.64 ± 48.42,3.91 ± 4.75,3.89 ± 4.74,600,125,1,55.64,48.42,3.91,4.75,3.89,4.74,2025-03-31T16:01:50.000Z
ChunkSize_600_Overlap_125_RetrieveResults_2,70.03 ± 45.09,2.42 ± 2.39,2.42 ± 2.39,600,125,2,70.03,45.09,2.42,2.39,2.42,2.39,2025-03-31T16:02:12.000Z
ChunkSize_600_Overlap_125_RetrieveResults_3,72.66 ± 43.83,1.68 ± 1.58,1.68 ± 1.58,600,125,3,72.66,43.83,1.68,1.58,1.68,1.58,2025-03-31T16:02:32.000Z
ChunkSize_600_Overlap_125_RetrieveResults_4,75.29 ± 42.36,1.34 ± 1.26,1.34 ± 1.26,600,125,4,75.29,42.36,1.34,1.26,1.34,1.26,2025-03-31T16:02:53.000Z
ChunkSize_600_Overlap_125_RetrieveResults_5,80.55 ± 38.74,1.14 ± 0.98,1.14 ± 0.98,600,125,5,80.55,38.74,1.14,0.98,1.14,0.98,2025-03-31T16:03:15.000Z
ChunkSize_600_Overlap_125_RetrieveResults_6,83.19 ± 36.51,0.98 ± 0.81,0.98 ± 0.81,600,125,6,83.19,36.51,0.98,0.81,0.98,0.81,2025-03-31T16:03:36.000Z
ChunkSize_600_Overlap_125_RetrieveResults_7,87.79 ± 32.24,0.88 ± 0.68,0.88 ± 0.68,600,125,7,87.79,32.24,0.88,0.68,0.88,0.68,2025-03-31T16:03:57.000Z
ChunkSize_600_Overlap_125_RetrieveResults_8,91.73 ± 26.94,0.79 ± 0.58,0.79 ± 0.58,600,125,8,91.73,26.94,0.79,0.58,0.79,0.58,2025-03-31T16:04:23.000Z
ChunkSize_600_Overlap_125_RetrieveResults_9,93.14 ± 24.79,0.71 ± 0.51,0.71 ± 0.51,600,125,9,93.14,24.79,0.71,0.51,0.71,0.51,2025-03-31T16:04:44.000Z
ChunkSize_600_Overlap_125_RetrieveResults_10,93.14 ± 24.79,0.64 ± 0.46,0.64 ± 0.46,600,125,10,93.14,24.79,0.64,0.46,0.64,0.46,2025-03-31T16:05:05.000Z
ChunkSize_50_Overlap_150_RetrieveResults_1,,,,50,150,1,,,,,,,2025-03-31T16:05:29.000Z
ChunkSize_50_Overlap_150_RetrieveResults_2,,,,50,150,2,,,,,,,2025-03-31T16:05:50.000Z
ChunkSize_50_Overlap_150_RetrieveResults_3,,,,50,150,3,,,,,,,2025-03-31T16:06:06.000Z
ChunkSize_50_Overlap_150_RetrieveResults_4,,,,50,150,4,,,,,,,2025-03-31T16:06:27.000Z
ChunkSize_50_Overlap_150_RetrieveResults_5,,,,50,150,5,,,,,,,2025-03-31T16:06:48.000Z
ChunkSize_50_Overlap_150_RetrieveResults_6,,,,50,150,6,,,,,,,2025-03-31T16:07:04.000Z
ChunkSize_50_Overlap_150_RetrieveResults_7,,,,50,150,7,,,,,,,2025-03-31T16:07:20.000Z
ChunkSize_50_Overlap_150_RetrieveResults_8,,,,50,150,8,,,,,,,2025-03-31T16:07:36.000Z
ChunkSize_50_Overlap_150_RetrieveResults_9,,,,50,150,9,,,,,,,2025-03-31T16:07:52.000Z
ChunkSize_50_Overlap_150_RetrieveResults_10,,,,50,150,10,,,,,,,2025-03-31T16:08:08.000Z
ChunkSize_100_Overlap_150_RetrieveResults_1,,,,100,150,1,,,,,,,2025-03-31T16:08:24.000Z
ChunkSize_100_Overlap_150_RetrieveResults_2,,,,100,150,2,,,,,,,2025-03-31T16:08:40.000Z
ChunkSize_100_Overlap_150_RetrieveResults_3,,,,100,150,3,,,,,,,2025-03-31T16:08:56.000Z
ChunkSize_100_Overlap_150_RetrieveResults_4,,,,100,150,4,,,,,,,2025-03-31T16:09:17.000Z
ChunkSize_100_Overlap_150_RetrieveResults_5,,,,100,150,5,,,,,,,2025-03-31T16:09:33.000Z
ChunkSize_100_Overlap_150_RetrieveResults_6,,,,100,150,6,,,,,,,2025-03-31T16:09:49.000Z
ChunkSize_100_Overlap_150_RetrieveResults_7,,,,100,150,7,,,,,,,2025-03-31T16:10:06.000Z
ChunkSize_100_Overlap_150_RetrieveResults_8,,,,100,150,8,,,,,,,2025-03-31T16:10:22.000Z
ChunkSize_100_Overlap_150_RetrieveResults_9,,,,100,150,9,,,,,,,2025-03-31T16:10:41.000Z
ChunkSize_100_Overlap_150_RetrieveResults_10,,,,100,150,10,,,,,,,2025-03-31T16:10:57.000Z
ChunkSize_150_Overlap_150_RetrieveResults_1,,,,150,150,1,,,,,,,2025-03-31T16:11:18.000Z
ChunkSize_150_Overlap_150_RetrieveResults_2,,,,150,150,2,,,,,,,2025-03-31T16:11:34.000Z
ChunkSize_150_Overlap_150_RetrieveResults_3,,,,150,150,3,,,,,,,2025-03-31T16:11:55.000Z
ChunkSize_150_Overlap_150_RetrieveResults_4,,,,150,150,4,,,,,,,2025-03-31T16:12:16.000Z
ChunkSize_150_Overlap_150_RetrieveResults_5,,,,150,150,5,,,,,,,2025-03-31T16:12:37.000Z
ChunkSize_150_Overlap_150_RetrieveResults_6,,,,150,150,6,,,,,,,2025-03-31T16:12:53.000Z
ChunkSize_150_Overlap_150_RetrieveResults_7,,,,150,150,7,,,,,,,2025-03-31T16:13:16.000Z
ChunkSize_150_Overlap_150_RetrieveResults_8,,,,150,150,8,,,,,,,2025-03-31T16:13:32.000Z
ChunkSize_150_Overlap_150_RetrieveResults_9,,,,150,150,9,,,,,,,2025-03-31T16:13:47.000Z
ChunkSize_150_Overlap_150_RetrieveResults_10,,,,150,150,10,,,,,,,2025-03-31T16:14:03.000Z
ChunkSize_200_Overlap_150_RetrieveResults_1,,,,200,150,1,,,,,,,2025-03-31T16:14:19.000Z
ChunkSize_200_Overlap_150_RetrieveResults_2,,,,200,150,2,,,,,,,2025-03-31T16:14:35.000Z
ChunkSize_200_Overlap_150_RetrieveResults_3,,,,200,150,3,,,,,,,2025-03-31T16:14:56.000Z
ChunkSize_200_Overlap_150_RetrieveResults_4,,,,200,150,4,,,,,,,2025-03-31T16:15:12.000Z
ChunkSize_200_Overlap_150_RetrieveResults_5,,,,200,150,5,,,,,,,2025-03-31T16:15:28.000Z
ChunkSize_200_Overlap_150_RetrieveResults_6,,,,200,150,6,,,,,,,2025-03-31T16:15:44.000Z
ChunkSize_200_Overlap_150_RetrieveResults_7,,,,200,150,7,,,,,,,2025-03-31T16:16:05.000Z
ChunkSize_200_Overlap_150_RetrieveResults_8,,,,200,150,8,,,,,,,2025-03-31T16:16:21.000Z
ChunkSize_200_Overlap_150_RetrieveResults_9,,,,200,150,9,,,,,,,2025-03-31T16:16:36.000Z
ChunkSize_200_Overlap_150_RetrieveResults_10,,,,200,150,10,,,,,,,2025-03-31T16:16:52.000Z
ChunkSize_250_Overlap_150_RetrieveResults_1,,,,250,150,1,,,,,,,2025-03-31T16:17:08.000Z
ChunkSize_250_Overlap_150_RetrieveResults_2,,,,250,150,2,,,,,,,2025-03-31T16:17:30.000Z
ChunkSize_250_Overlap_150_RetrieveResults_3,,,,250,150,3,,,,,,,2025-03-31T16:17:46.000Z
ChunkSize_250_Overlap_150_RetrieveResults_4,,,,250,150,4,,,,,,,2025-03-31T16:18:02.000Z
ChunkSize_250_Overlap_150_RetrieveResults_5,,,,250,150,5,,,,,,,2025-03-31T16:18:18.000Z
ChunkSize_250_Overlap_150_RetrieveResults_6,,,,250,150,6,,,,,,,2025-03-31T16:18:34.000Z
ChunkSize_250_Overlap_150_RetrieveResults_7,,,,250,150,7,,,,,,,2025-03-31T16:18:50.000Z
ChunkSize_250_Overlap_150_RetrieveResults_8,,,,250,150,8,,,,,,,2025-03-31T16:19:11.000Z
ChunkSize_250_Overlap_150_RetrieveResults_9,,,,250,150,9,,,,,,,2025-03-31T16:19:27.000Z
ChunkSize_250_Overlap_150_RetrieveResults_10,,,,250,150,10,,,,,,,2025-03-31T16:19:48.000Z
ChunkSize_300_Overlap_150_RetrieveResults_1,82.32 ± 35.74,11.52 ± 9.48,11.47 ± 9.48,300,150,1,82.32,35.74,11.52,9.48,11.47,9.48,2025-03-31T16:20:04.000Z
ChunkSize_300_Overlap_150_RetrieveResults_2,90.5 ± 26.2,6.17 ± 4.57,6.16 ± 4.57,300,150,2,90.5,26.2,6.17,4.57,6.16,4.57,2025-03-31T16:20:25.000Z
ChunkSize_300_Overlap_150_RetrieveResults_3,95.64 ± 17.93,4.36 ± 2.95,4.35 ± 2.95,300,150,3,95.64,17.93,4.36,2.95,4.35,2.95,2025-03-31T16:20:46.000Z
ChunkSize_300_Overlap_150_RetrieveResults_4,95.95 ± 17.8,3.29 ± 2.25,3.29 ± 2.25,300,150,4,95.95,17.8,3.29,2.25,3.29,2.25,2025-03-31T16:21:07.000Z
ChunkSize_300_Overlap_150_RetrieveResults_5,95.95 ± 17.8,2.63 ± 1.8,2.63 ± 1.8,300,150,5,95.95,17.8,2.63,1.8,2.63,1.8,2025-03-31T16:21:33.000Z
ChunkSize_300_Overlap_150_RetrieveResults_6,98.65 ± 8.23,2.25 ± 1.45,2.25 ± 1.46,300,150,6,98.65,8.23,2.25,1.45,2.25,1.46,2025-03-31T16:21:54.000Z
ChunkSize_300_Overlap_150_RetrieveResults_7,98.65 ± 8.23,1.93 ± 1.25,1.93 ± 1.25,300,150,7,98.65,8.23,1.93,1.25,1.93,1.25,2025-03-31T16:22:20.000Z
ChunkSize_300_Overlap_150_RetrieveResults_8,98.65 ± 8.23,1.69 ± 1.09,1.69 ± 1.1,300,150,8,98.65,8.23,1.69,1.09,1.69,1.1,2025-03-31T16:22:41.000Z
ChunkSize_300_Overlap_150_RetrieveResults_9,98.65 ± 8.23,1.5 ± 0.97,1.5 ± 0.97,300,150,9,98.65,8.23,1.5,0.97,1.5,0.97,2025-03-31T16:23:04.000Z
ChunkSize_300_Overlap_150_RetrieveResults_10,99.34 ± 5.73,1.36 ± 0.87,1.36 ± 0.87,300,150,10,99.34,5.73,1.36,0.87,1.36,0.87,2025-03-31T16:23:26.000Z
ChunkSize_350_Overlap_150_RetrieveResults_1,76.79 ± 40.88,8.89 ± 8.06,8.84 ± 8.01,350,150,1,76.79,40.88,8.89,8.06,8.84,8.01,2025-03-31T16:23:47.000Z
ChunkSize_350_Overlap_150_RetrieveResults_2,91.54 ± 25.91,5.38 ± 3.98,5.38 ± 3.98,350,150,2,91.54,25.91,5.38,3.98,5.38,3.98,2025-03-31T16:24:08.000Z
ChunkSize_350_Overlap_150_RetrieveResults_3,94.17 ± 21.11,3.71 ± 2.61,3.71 ± 2.61,350,150,3,94.17,21.11,3.71,2.61,3.71,2.61,2025-03-31T16:24:33.000Z
ChunkSize_350_Overlap_150_RetrieveResults_4,96.15 ± 17.32,2.83 ± 1.92,2.83 ± 1.92,350,150,4,96.15,17.32,2.83,1.92,2.83,1.92,2025-03-31T16:24:59.000Z
ChunkSize_350_Overlap_150_RetrieveResults_5,99.92 ± 0.73,2.34 ± 1.49,2.34 ± 1.49,350,150,5,99.92,0.73,2.34,1.49,2.34,1.49,2025-03-31T16:25:20.000Z
ChunkSize_350_Overlap_150_RetrieveResults_6,99.92 ± 0.73,1.95 ± 1.24,1.95 ± 1.24,350,150,6,99.92,0.73,1.95,1.24,1.95,1.24,2025-03-31T16:25:41.000Z
ChunkSize_350_Overlap_150_RetrieveResults_7,99.92 ± 0.73,1.68 ± 1.06,1.68 ± 1.06,350,150,7,99.92,0.73,1.68,1.06,1.68,1.06,2025-03-31T16:26:02.000Z
ChunkSize_350_Overlap_150_RetrieveResults_8,99.92 ± 0.73,1.47 ± 0.93,1.47 ± 0.93,350,150,8,99.92,0.73,1.47,0.93,1.47,0.93,2025-03-31T16:26:23.000Z
ChunkSize_350_Overlap_150_RetrieveResults_9,100.0 ± 0.0,1.3 ± 0.82,1.3 ± 0.82,350,150,9,100.0,0.0,1.3,0.82,1.3,0.82,2025-03-31T16:26:44.000Z
ChunkSize_350_Overlap_150_RetrieveResults_10,100.0 ± 0.0,1.17 ± 0.74,1.17 ± 0.74,350,150,10,100.0,0.0,1.17,0.74,1.17,0.74,2025-03-31T16:27:05.000Z
ChunkSize_400_Overlap_150_RetrieveResults_1,72.69 ± 42.65,7.12 ± 6.11,7.04 ± 6.09,400,150,1,72.69,42.65,7.12,6.11,7.04,6.09,2025-03-31T16:27:23.000Z
ChunkSize_400_Overlap_150_RetrieveResults_2,89.45 ± 29.07,4.64 ± 3.46,4.64 ± 3.46,400,150,2,89.45,29.07,4.64,3.46,4.64,3.46,2025-03-31T16:27:44.000Z
ChunkSize_400_Overlap_150_RetrieveResults_3,93.44 ± 22.73,3.22 ± 2.26,3.22 ± 2.26,400,150,3,93.44,22.73,3.22,2.26,3.22,2.26,2025-03-31T16:28:05.000Z
ChunkSize_400_Overlap_150_RetrieveResults_4,96.07 ± 16.76,2.46 ± 1.66,2.46 ± 1.66,400,150,4,96.07,16.76,2.46,1.66,2.46,1.66,2025-03-31T16:28:26.000Z
ChunkSize_400_Overlap_150_RetrieveResults_5,97.68 ± 12.37,1.99 ± 1.32,1.99 ± 1.32,400,150,5,97.68,12.37,1.99,1.32,1.99,1.32,2025-03-31T16:28:47.000Z
ChunkSize_400_Overlap_150_RetrieveResults_6,99.44 ± 3.43,1.69 ± 1.08,1.69 ± 1.08,400,150,6,99.44,3.43,1.69,1.08,1.69,1.08,2025-03-31T16:29:02.000Z
ChunkSize_400_Overlap_150_RetrieveResults_7,99.44 ± 3.43,1.45 ± 0.93,1.45 ± 0.93,400,150,7,99.44,3.43,1.45,0.93,1.45,0.93,2025-03-31T16:29:23.000Z
ChunkSize_400_Overlap_150_RetrieveResults_8,99.44 ± 3.43,1.27 ± 0.81,1.27 ± 0.81,400,150,8,99.44,3.43,1.27,0.81,1.27,0.81,2025-03-31T16:29:41.000Z
ChunkSize_400_Overlap_150_RetrieveResults_9,99.44 ± 3.43,1.13 ± 0.72,1.13 ± 0.72,400,150,9,99.44,3.43,1.13,0.72,1.13,0.72,2025-03-31T16:30:02.000Z
ChunkSize_400_Overlap_150_RetrieveResults_10,99.44 ± 3.43,1.02 ± 0.65,1.02 ± 0.65,400,150,10,99.44,3.43,1.02,0.65,1.02,0.65,2025-03-31T16:30:23.000Z
ChunkSize_450_Overlap_150_RetrieveResults_1,73.03 ± 41.21,6.62 ± 5.96,6.56 ± 5.92,450,150,1,73.03,41.21,6.62,5.96,6.56,5.92,2025-03-31T16:30:50.000Z
ChunkSize_450_Overlap_150_RetrieveResults_2,81.47 ± 35.61,3.73 ± 3.08,3.72 ± 3.08,450,150,2,81.47,35.61,3.73,3.08,3.72,3.08,2025-03-31T16:31:11.000Z
ChunkSize_450_Overlap_150_RetrieveResults_3,85.42 ± 31.69,2.62 ± 2.0,2.62 ± 2.0,450,150,3,85.42,31.69,2.62,2.0,2.62,2.0,2025-03-31T16:31:32.000Z
ChunkSize_450_Overlap_150_RetrieveResults_4,88.67 ± 28.42,2.03 ± 1.47,2.02 ± 1.47,450,150,4,88.67,28.42,2.03,1.47,2.02,1.47,2025-03-31T16:31:53.000Z
ChunkSize_450_Overlap_150_RetrieveResults_5,91.98 ± 23.96,1.71 ± 1.23,1.71 ± 1.23,450,150,5,91.98,23.96,1.71,1.23,1.71,1.23,2025-03-31T16:32:14.000Z
ChunkSize_450_Overlap_150_RetrieveResults_6,93.4 ± 21.5,1.45 ± 1.01,1.45 ± 1.01,450,150,6,93.4,21.5,1.45,1.01,1.45,1.01,2025-03-31T16:32:35.000Z
ChunkSize_450_Overlap_150_RetrieveResults_7,94.96 ± 20.31,1.25 ± 0.86,1.25 ± 0.86,450,150,7,94.96,20.31,1.25,0.86,1.25,0.86,2025-03-31T16:32:56.000Z
ChunkSize_450_Overlap_150_RetrieveResults_8,94.96 ± 20.31,1.1 ± 0.75,1.1 ± 0.75,450,150,8,94.96,20.31,1.1,0.75,1.1,0.75,2025-03-31T16:33:17.000Z
ChunkSize_450_Overlap_150_RetrieveResults_9,94.96 ± 20.31,0.98 ± 0.67,0.98 ± 0.67,450,150,9,94.96,20.31,0.98,0.67,0.98,0.67,2025-03-31T16:33:38.000Z
ChunkSize_450_Overlap_150_RetrieveResults_10,96.08 ± 19.32,0.89 ± 0.6,0.89 ± 0.6,450,150,10,96.08,19.32,0.89,0.6,0.89,0.6,2025-03-31T16:33:59.000Z
ChunkSize_500_Overlap_150_RetrieveResults_1,57.73 ± 46.46,4.75 ± 5.08,4.69 ± 5.06,500,150,1,57.73,46.46,4.75,5.08,4.69,5.06,2025-03-31T16:34:20.000Z
ChunkSize_500_Overlap_150_RetrieveResults_2,75.31 ± 40.43,3.05 ± 2.75,3.04 ± 2.74,500,150,2,75.31,40.43,3.05,2.75,3.04,2.74,2025-03-31T16:34:41.000Z
ChunkSize_500_Overlap_150_RetrieveResults_3,79.77 ± 36.84,2.13 ± 1.76,2.13 ± 1.76,500,150,3,79.77,36.84,2.13,1.76,2.13,1.76,2025-03-31T16:35:02.000Z
ChunkSize_500_Overlap_150_RetrieveResults_4,83.33 ± 34.57,1.67 ± 1.34,1.67 ± 1.34,500,150,4,83.33,34.57,1.67,1.34,1.67,1.34,2025-03-31T16:35:23.000Z
ChunkSize_500_Overlap_150_RetrieveResults_5,85.96 ± 31.83,1.37 ± 1.05,1.37 ± 1.05,500,150,5,85.96,31.83,1.37,1.05,1.37,1.05,2025-03-31T16:35:44.000Z
ChunkSize_500_Overlap_150_RetrieveResults_6,88.08 ± 29.79,1.18 ± 0.88,1.18 ± 0.88,500,150,6,88.08,29.79,1.18,0.88,1.18,0.88,2025-03-31T16:36:05.000Z
ChunkSize_500_Overlap_150_RetrieveResults_7,88.08 ± 29.79,1.01 ± 0.75,1.01 ± 0.75,500,150,7,88.08,29.79,1.01,0.75,1.01,0.75,2025-03-31T16:36:26.000Z
ChunkSize_500_Overlap_150_RetrieveResults_8,90.71 ± 26.08,0.92 ± 0.65,0.92 ± 0.65,500,150,8,90.71,26.08,0.92,0.65,0.92,0.65,2025-03-31T16:36:47.000Z
ChunkSize_500_Overlap_150_RetrieveResults_9,92.95 ± 22.82,0.84 ± 0.57,0.84 ± 0.57,500,150,9,92.95,22.82,0.84,0.57,0.84,0.57,2025-03-31T16:37:08.000Z
ChunkSize_500_Overlap_150_RetrieveResults_10,94.26 ± 20.15,0.76 ± 0.5,0.76 ± 0.5,500,150,10,94.26,20.15,0.76,0.5,0.76,0.5,2025-03-31T16:37:29.000Z
ChunkSize_550_Overlap_150_RetrieveResults_1,58.79 ± 48.17,4.34 ± 5.05,4.32 ± 5.04,550,150,1,58.79,48.17,4.34,5.05,4.32,5.04,2025-03-31T16:37:51.000Z
ChunkSize_550_Overlap_150_RetrieveResults_2,75.22 ± 42.42,2.99 ± 2.78,2.99 ± 2.78,550,150,2,75.22,42.42,2.99,2.78,2.99,2.78,2025-03-31T16:38:12.000Z
ChunkSize_550_Overlap_150_RetrieveResults_3,79.6 ± 39.85,2.12 ± 1.83,2.12 ± 1.83,550,150,3,79.6,39.85,2.12,1.83,2.12,1.83,2025-03-31T16:38:33.000Z
ChunkSize_550_Overlap_150_RetrieveResults_4,80.92 ± 38.84,1.61 ± 1.37,1.61 ± 1.37,550,150,4,80.92,38.84,1.61,1.37,1.61,1.37,2025-03-31T16:38:54.000Z
ChunkSize_550_Overlap_150_RetrieveResults_5,82.23 ± 37.75,1.3 ± 1.09,1.3 ± 1.09,550,150,5,82.23,37.75,1.3,1.09,1.3,1.09,2025-03-31T16:39:15.000Z
ChunkSize_550_Overlap_150_RetrieveResults_6,83.55 ± 36.59,1.09 ± 0.9,1.09 ± 0.9,550,150,6,83.55,36.59,1.09,0.9,1.09,0.9,2025-03-31T16:39:36.000Z
ChunkSize_550_Overlap_150_RetrieveResults_7,87.5 ± 32.53,0.96 ± 0.75,0.96 ± 0.75,550,150,7,87.5,32.53,0.96,0.75,0.96,0.75,2025-03-31T16:39:57.000Z
ChunkSize_550_Overlap_150_RetrieveResults_8,88.81 ± 30.95,0.85 ± 0.65,0.85 ± 0.65,550,150,8,88.81,30.95,0.85,0.65,0.85,0.65,2025-03-31T16:40:18.000Z
ChunkSize_550_Overlap_150_RetrieveResults_9,92.73 ± 25.33,0.77 ± 0.56,0.77 ± 0.56,550,150,9,92.73,25.33,0.77,0.56,0.77,0.56,2025-03-31T16:40:44.000Z
ChunkSize_550_Overlap_150_RetrieveResults_10,94.05 ± 22.96,0.71 ± 0.5,0.71 ± 0.5,550,150,10,94.05,22.96,0.71,0.5,0.71,0.5,2025-03-31T16:41:11.000Z
ChunkSize_600_Overlap_150_RetrieveResults_1,65.58 ± 45.31,4.6 ± 4.41,4.57 ± 4.39,600,150,1,65.58,45.31,4.6,4.41,4.57,4.39,2025-03-31T16:41:37.000Z
ChunkSize_600_Overlap_150_RetrieveResults_2,72.89 ± 42.49,2.52 ± 2.16,2.51 ± 2.16,600,150,2,72.89,42.49,2.52,2.16,2.51,2.16,2025-03-31T16:41:58.000Z
ChunkSize_600_Overlap_150_RetrieveResults_3,76.84 ± 40.12,1.73 ± 1.41,1.72 ± 1.4,600,150,3,76.84,40.12,1.73,1.41,1.72,1.4,2025-03-31T16:42:19.000Z
ChunkSize_600_Overlap_150_RetrieveResults_4,80.6 ± 38.16,1.37 ± 1.14,1.37 ± 1.14,600,150,4,80.6,38.16,1.37,1.14,1.37,1.14,2025-03-31T16:42:40.000Z
ChunkSize_600_Overlap_150_RetrieveResults_5,81.25 ± 38.06,1.1 ± 0.91,1.1 ± 0.91,600,150,5,81.25,38.06,1.1,0.91,1.1,0.91,2025-03-31T16:43:01.000Z
